Round Number,Train Loss,Test Accuracy
59,0.3077943456865328,0.8837720759746751
60,0.30521234351329657,0.8856381206264579
61,0.30376371039870087,0.8860379873375541
62,0.30391883293992134,0.8851049650116628
63,0.30074107007257533,0.8869043652115961
64,0.2991754787159791,0.8870376541152949
65,0.29750323761831454,0.8876374541819394
66,0.29644287883291326,0.8871042985671442
67,0.29561572898391075,0.8879706764411863
68,0.29374575973391004,0.8888370543152283
69,0.29255660102814035,0.8886371209596801
70,0.29184979641392583,0.88757080973009
71,0.2922462230063113,0.8883038987004331
72,0.28991737528812167,0.8892369210263246
73,0.28740645651948243,0.8901032989003665
74,0.2880039655034525,0.8888370543152283
75,0.28418777128856393,0.8911029656781073
76,0.28261173923737903,0.8901699433522159
77,0.28180583995344916,0.891569476841053
78,0.280260999541607,0.8932355881372875
79,0.2784238201113377,0.8917694101966012
80,0.2781357136018929,0.8939020326557814
81,0.27619957760503844,0.8937020993002333
82,0.27462561715248,0.8936354548483839
83,0.2731760158606066,0.893835388203932
84,0.27307396839420334,0.8925024991669444
85,0.271582307074047,0.8930356547817394
86,0.27051112019622053,0.8933688770409863
87,0.2676884689051336,0.8945018327224259
88,0.26674576778175496,0.8936354548483839
89,0.26519393251402,0.8953682105964679
90,0.26450285264448403,0.894701766077974
91,0.26250469677147736,0.8957014328557148
92,0.2612301727758179,0.8960346551149617
93,0.2599590035590876,0.8954348550483172
94,0.2616814127801382,0.8944351882705764
95,0.2581453747438955,0.8961012995668111
96,0.25678366892566623,0.8967677440853049
97,0.2551411580446724,0.8972342552482506
98,0.25310379720787124,0.8981672775741419
99,0.2523374923033452,0.897834055314895
100,0.251183610848357,0.8995001666111296
101,0.24975389780944068,0.8995001666111296
102,0.24954789257902302,0.8994335221592802
103,0.247259200895963,0.8987670776407864
104,0.24587322179213855,0.8998333888703766
105,0.24453504372896454,0.8997000999666778
106,0.24378012467345056,0.8991669443518827
107,0.24250927849539602,0.9005664778407197
108,0.24081050201299287,0.9002999000333223
109,0.23890352281382926,0.9010996334555148
110,0.23764468164215521,0.9006997667444185
111,0.23656247805882746,0.9025658113962013
112,0.23591282087970042,0.9025658113962013
113,0.23455047246093838,0.9002332555814728
114,0.23247479934265985,0.9016327890703099
115,0.23188207220165827,0.9016327890703099
116,0.22993441289966388,0.9021659446851049
117,0.22874515890182645,0.9028323892035988
118,0.22733222241775372,0.9020326557814062
119,0.22674899369439203,0.9030989670109963
120,0.22464724834288277,0.9041652782405865
121,0.22260398408356688,0.903898700433189
122,0.22227766858008177,0.9045651449516827
123,0.21952306413252518,0.904431856047984
124,0.21921707901741402,0.9048983672109296
125,0.21803307619021836,0.9046317894035322
126,0.21603064968841446,0.904765078307231
127,0.21485141426235885,0.9054981672775742
128,0.2141183550327715,0.905298233922026
129,0.2125787608386741,0.904431856047984
130,0.21107678844083522,0.9054981672775742
131,0.21045459883184026,0.904765078307231
132,0.20989461964060077,0.9056314561812729
133,0.2075358191324418,0.9060979673442185
134,0.20618312369996497,0.9051649450183272
135,0.20448365770268453,0.9062312562479173
136,0.20316307251232182,0.9055648117294235
137,0.20281341866254088,0.906697767410863
138,0.20132042526459312,0.9048317227590803
139,0.200189912973255,0.9062979006997668
140,0.1986844388276974,0.906697767410863
141,0.1973143004095904,0.9064978340553149
142,0.1954629804112398,0.9063645451516161
143,0.1941179300432147,0.906164611796068
144,0.1926933546255909,0.9069643452182605
145,0.19153296133912914,0.90703098967011
146,0.19008250504420662,0.9064978340553149
147,0.1896224151046731,0.90703098967011
148,0.18822730452647995,0.907564145284905
149,0.18688211570603405,0.9067644118627124
150,0.1852642764564925,0.9074308563812062
151,0.1857066336190832,0.9077640786404532
152,0.18377909596526465,0.9076307897367544
153,0.18104052764025746,0.9080306564478507
154,0.17969528509982766,0.9076307897367544
155,0.17873364091027014,0.9084971676107964
156,0.17752067849194422,0.9080973008997001
157,0.17648222069592545,0.9084971676107964
158,0.17540109925853556,0.9073642119293569
159,0.17430346257501994,0.907897367544152
160,0.17241001373178666,0.9086304565144951
161,0.17153198246741955,0.907897367544152
162,0.17105727593189263,0.9073642119293569
163,0.16910475697024638,0.9079640119960013
164,0.16752549064023264,0.9090969676774409
165,0.16656562031964564,0.9082305898033989
166,0.1648974567169521,0.9085638120626458
167,0.16435718424039694,0.9087637454181939
168,0.16301852651129203,0.9086971009663446
169,0.1618230026243829,0.9094968343885371
170,0.16115540137074522,0.9085638120626458
171,0.159850046942469,0.9086971009663446
172,0.15850263207986312,0.9086971009663446
173,0.15706361417133138,0.9079640119960013
174,0.1555652052758093,0.9085638120626458
175,0.15433424247520544,0.9083638787070977
176,0.1527792072383966,0.9092302565811397
177,0.15155079012313968,0.9099633455514828
178,0.15022225148280266,0.9096301232922359
179,0.14979068492570496,0.9095634788403866
180,0.1493647364261918,0.9100299900033322
181,0.1469521394303917,0.9096301232922359
182,0.1459379585430098,0.9109630123292236
183,0.14488326169648227,0.9102965678107298
184,0.14392250521575806,0.9094968343885371
185,0.14311610909320852,0.9097634121959347
186,0.14169949529440673,0.9102299233588804
187,0.1421353381350215,0.907897367544152
188,0.1392086447617708,0.9100966344551816
189,0.13798924328829673,0.9094968343885371
190,0.13668065455474013,0.909296901032989
191,0.13608652330523863,0.9097634121959347
192,0.13474290660531354,0.9102965678107298
193,0.13357062885177834,0.9104298567144286
194,0.1328956135377372,0.9107630789736755
195,0.13229197720171557,0.9099633455514828
196,0.13081640320392632,0.9094968343885371
197,0.1284996132518459,0.9103632122625791
198,0.12737081624433047,0.9106297900699767
199,0.12576537882669458,0.9107630789736755
200,0.1253037735241268,0.9111629456847717
201,0.12415291092140658,0.9106297900699767
202,0.12276904925654011,0.9098967010996335
203,0.12212585979797794,0.910696434521826
204,0.1203446010237955,0.910696434521826
205,0.1198469159433015,0.9109630123292236
206,0.11843053942030281,0.9102965678107298
207,0.11751030916488031,0.9108297234255248
208,0.11658823248152407,0.9106297900699767
209,0.11574011676382227,0.9096301232922359
210,0.11468433950496874,0.9105631456181273
